name,category,description,image_url
# --- 基础常见食材 ---
番茄,vegetable,多汁饱满，酸甜可口，富含维生素C，适合炒、炖、生食。,https://via.placeholder.com/150/FF0000/FFFFFF?Text=Tomato
鸡蛋,egg,营养丰富的优质蛋白质来源，烹饪方式多样，煎炒蒸煮皆宜。,https://via.placeholder.com/150/FFFF00/000000?Text=Egg
鸡胸肉,poultry,低脂高蛋白的禽肉选择，肉质细嫩，适合健身人士和多种烹饪。,https://via.placeholder.com/150/FFA500/FFFFFF?Text=ChickenBreast
西兰花,vegetable,富含纤维和维生素的绿色蔬菜，口感爽脆，焯水或清炒均佳。,https://via.placeholder.com/150/008000/FFFFFF?Text=Broccoli
大米,grain,亚洲餐桌主食，提供碳水化合物能量，蒸煮后米香四溢。,https://via.placeholder.com/150/F5F5DC/000000?Text=Rice
三文鱼,seafood,富含Omega-3的深海鱼，肉质鲜美橙红，适合刺身、香煎或烤制。,https://via.placeholder.com/150/FA8072/FFFFFF?Text=Salmon
牛奶,dairy,钙质和蛋白质的良好来源，可直接饮用或用于制作甜点饮品。,https://via.placeholder.com/150/FFFFFF/000000?Text=Milk
苹果,fruit,清脆爽口，富含膳食纤维和多种维生素，生食或榨汁皆宜。,https://via.placeholder.com/150/FF0000/FFFFFF?Text=Apple
牛肉,meat,优质红肉，富含铁质和蛋白质，适合炖煮、煎炒、烧烤等多种做法。,https://via.placeholder.com/150/A52A2A/FFFFFF?Text=Beef
洋葱,vegetable,带有微辣刺激性风味，是许多菜肴的基础调味蔬菜，生熟皆可。,https://via.placeholder.com/150/D2B48C/000000?Text=BrownOnion
大蒜,herb,辛辣味浓，常作调料去腥增香，具有一定的杀菌作用。(从 vegetable 移到 herb 更合适),https://via.placeholder.com/150/F5F5F5/000000?Text=Garlic
生姜,spice,性温味辛，是厨房中常用的调味品，能去腥暖胃，用途广泛。,https://via.placeholder.com/150/D2B48C/FFFFFF?Text=Ginger
酱油,spice,中式烹饪常用调味料，赋予食物咸鲜风味和红亮色泽。,https://via.placeholder.com/150/8B4513/FFFFFF?Text=SoySauce
食盐,spice,烹饪中不可或缺的基础调味料，调节菜肴咸淡，激发食材本味。,https://via.placeholder.com/150/FFFFFF/000000?Text=Salt
白砂糖,spice,提供甜味的晶体糖，用于调味、烘焙和制作甜点饮料。,https://via.placeholder.com/150/FFFFFF/000000?Text=Sugar
橄榄油,oil,富含单不饱和脂肪酸的健康植物油，适合凉拌、低温烹炒。,https://via.placeholder.com/150/808000/FFFFFF?Text=OliveOil
面粉,grain,由小麦磨制而成，是制作面食、糕点、面包等的基础原料。,https://via.placeholder.com/150/F5DEB3/000000?Text=Flour
香菜,herb,气味浓郁独特，常用于菜肴的点缀和提香，有人喜爱有人不适。,https://via.placeholder.com/150/228B22/FFFFFF?Text=Cilantro
柠檬,fruit,酸味清新，富含维生素C，可榨汁、调味、制作饮品或腌料。,https://via.placeholder.com/150/FFFACD/000000?Text=Lemon
土豆,vegetable,淀粉含量高，口感多样，可作主食或配菜，煎炒烹炸炖皆可。,https://via.placeholder.com/150/DEB887/000000?Text=Potato
胡萝卜,vegetable,富含β-胡萝卜素，颜色鲜艳，略带甜味，生熟食均可。,https://via.placeholder.com/150/FFA500/FFFFFF?Text=Carrot
豆腐,other,豆制品，蛋白质含量高，口感软嫩，有多种形态和烹饪方式。,https://via.placeholder.com/150/F0E68C/000000?Text=Tofu
猪肉,meat,常见的畜肉之一，部位不同风味各异，烹饪方法多样。,https://via.placeholder.com/150/FFC0CB/000000?Text=Pork
虾,seafood,肉质鲜美Q弹，富含蛋白质，适合清蒸、白灼、油爆等。,https://via.placeholder.com/150/FF7F50/FFFFFF?Text=Shrimp
酸奶,dairy,牛奶发酵而成，含有益生菌，口感酸甜，有助于消化。,https://via.placeholder.com/150/F0FFFF/000000?Text=Yogurt
香蕉,fruit,软糯香甜，富含钾元素，方便携带和食用，能量补充佳品。,https://via.placeholder.com/150/FFFFE0/000000?Text=Banana
玉米,grain,粗粮的一种，口感甜糯，富含膳食纤维，可煮、烤或加工成制品。,https://via.placeholder.com/150/FFD700/000000?Text=Corn
黑胡椒,spice,带有辛辣和芳香气味，常用于西餐调味，腌制肉类或撒在成品上。,https://via.placeholder.com/150/000000/FFFFFF?Text=BlackPepper
罗勒,herb,也称九层塔，香气浓郁，常用于西餐、泰式料理，提升风味层次。,https://via.placeholder.com/150/3CB371/FFFFFF?Text=Basil
花生油,oil,由花生压榨而成，香味浓郁，适合中式爆炒等高温烹饪。,https://via.placeholder.com/150/F4A460/FFFFFF?Text=PeanutOil
# --- 蔬菜类 (Vegetable) ---
菠菜,vegetable,深绿色叶菜，富含铁质和多种维生素，适合清炒、做汤或凉拌。,https://via.placeholder.com/150/2E8B57/FFFFFF?Text=Spinach
生菜,vegetable,口感清脆爽口，常用于制作沙拉、三明治或包裹烤肉生食。,https://via.placeholder.com/150/90EE90/000000?Text=Lettuce
黄瓜,vegetable,水分充足，口感清爽，夏季消暑佳品，可生食、凉拌或清炒。,https://via.placeholder.com/150/32CD32/FFFFFF?Text=Cucumber
茄子,vegetable,紫色蔬菜，肉质松软，吸油性强，适合烧、烤、炸等多种烹饪。,https://via.placeholder.com/150/8A2BE2/FFFFFF?Text=Eggplant
青椒,vegetable,带有微辣的清香，富含维生素C，常用于炒菜或作为配菜。,https://via.placeholder.com/150/008000/FFFFFF?Text=GreenPepper
红椒,vegetable,颜色鲜艳，口感比青椒略甜，维生素含量高，适合炒食或生食。,https://via.placeholder.com/150/FF0000/FFFFFF?Text=RedPepper
冬瓜,vegetable,水分含量高，热量低，口感清淡，适合炖汤、红烧或清炒。,https://via.placeholder.com/150/ADD8E6/000000?Text=WinterMelon
南瓜,vegetable,橙黄色，口感甜糯，富含胡萝卜素，可蒸、煮、烤或制作甜点。,https://via.placeholder.com/150/FFA500/FFFFFF?Text=Pumpkin
苦瓜,vegetable,味苦性凉，具有清热解毒功效，可炒食、凉拌或榨汁。,https://via.placeholder.com/150/3CB371/FFFFFF?Text=BitterGourd
山药,vegetable,根茎类蔬菜，口感黏滑或爽脆，健脾益胃，适合煲汤、清炒。,https://via.placeholder.com/150/F5F5DC/000000?Text=Yam
